;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity
31.12.1992;2000,292;1066,644;1818,475;938;1828,4;#N/A N/A;#N/A N/A;7497;3375;3503;2734;7839;17122,0703;2391,3999;19560;1003,128;875,839;#N/A N/A;3968;10653;2601,1001;5661;3311,8;1856,833;3243,8601;#N/A N/A;145,071;26897;1914,63;1947,1;240,785;75,986;147,523;326;454,3;#N/A N/A;#N/A N/A;476;442;453;55;914;1130,694;453,4;-6755;;132,693;;373;771;882;-435;518,9;611,304;598,091;#N/A N/A;59,698;1783;66,095;371,1;161,341;45,923;97,14;236;227,9;#N/A N/A;#N/A N/A;357;289;307;-2;576;749,588;-96,4;-5463;-417,545;76,045;#N/A N/A;82;1088;609,1;-333;297,4;428,559;392,382;#N/A N/A;38,694;1400;40,258;278,8;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;280,186;87,132;166,399;362;595,8;#N/A N/A;#N/A N/A;754;711;586;212;1197;1341,168;679,8;-5575;;145,937;;325;1410;#N/A N/A;-213;1116,1;752,297;671,013;#N/A N/A;63,018;3227;86,359;435,9
31.03.1993;1973,894;717,03;2180,218;958;1654,1;#N/A N/A;#N/A N/A;6644;3517;3560;2697;7350;13920,4072;2026,4;13058;1114,028;972,004;#N/A N/A;3340;7976;2379,6001;4725;3163,3;2023,559;3056;#N/A N/A;172,362;24139;2257,9209;1867,3;169,066;75,462;160,342;338;392,6;#N/A N/A;#N/A N/A;430;530;680;87;767;657,402;361,1;-270;;153,307;;1542;792;890,3;66;717,5;818,767;677;#N/A N/A;71,284;1721;141,845;459;110,9;47,156;106,799;243;218,3;#N/A N/A;#N/A N/A;325;330;503;34;502;450,65;214,8;-399;88,031;89,471;#N/A N/A;243;501;613,8;64;414,2;547,946;442;#N/A N/A;46,299;1185;84,213;329;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;211,908;85,801;180,877;376;529,2;#N/A N/A;#N/A N/A;683;783;838;253;1024;844,524;580,4;1118;;167,806;;1762;1381;#N/A N/A;266;1317,6;970,808;765;#N/A N/A;75,308;2915;86,359;521,1
30.06.1993;1861,979;771,432;2453,7561;1039;1877,8;#N/A N/A;#N/A N/A;7985;3540;3541;2905;7365;16236,5771;1936,8;15519;1069,338;983,279;#N/A N/A;3503;8400;2573,6001;5508;3220,1001;2129,5601;3899;#N/A N/A;205,223;24702;2085,2549;1748,7;14,19;80,041;211,241;373;502,2;#N/A N/A;#N/A N/A;581;516;675;138;457;754,174;428,4;111;;130,536;;833;679;987,4;242;752,2;844,582;959;#N/A N/A;82,123;1664;102,726;322,9;-188,316;50,51;134,504;265;288,8;#N/A N/A;#N/A N/A;426;331;495;67;-1219;495,875;259,1;-8036;108,497;76,907;#N/A N/A;416;50;172,6;130;362,6;568,537;678;#N/A N/A;53,719;1235;64,395;253,8;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;55,583;93,295;232,731;412;636,6;#N/A N/A;#N/A N/A;812;780;833;306;778;949,753;609;1184;;151,012;;1589;1275;#N/A N/A;433;1390,3;1009,527;1044;#N/A N/A;85,382;2900;86,359;386
30.09.1993;2140,7891;799,14;2317,3721;983;1944,3;#N/A N/A;#N/A N/A;5153;3481;3506;2845;7564;16826,998;2174,6001;14743;1104,975;1107,8781;#N/A N/A;3576;8067;2544,1001;5056;3289,6001;2239,8479;3629;#N/A N/A;248,457;24455;2037,0341;1872,5;7,153;86,57;164,642;343;568,2;#N/A N/A;#N/A N/A;246;455;596;152;1085;799,929;317,4;-29;;200,792;;855;862;1006,4;271;720,7;869,598;829;#N/A N/A;97,887;1754;95,542;448,2;2,664;54,825;103,418;239;310,9;#N/A N/A;#N/A N/A;189;316;454;432;670;518,739;-77,7;-48;141,388;114,1;#N/A N/A;420;420;705,7;157;378,5;584,428;590;#N/A N/A;63,485;1360;32,8;-214,2;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;49,63;99,118;187,631;384;712,3;#N/A N/A;#N/A N/A;496;717;748;321;1362;1011,933;719,5;1184;;214,947;;1137;1477;#N/A N/A;479;1377,8;1046,216;919;#N/A N/A;104,36;2964;86,359;514,2
31.12.1993;2468,854;827,6;2287,417;1129;1931,9;#N/A N/A;#N/A N/A;5656;3482;3531;3168;7788;21001,5605;2727,3;19396;1171,8311;805,789;#N/A N/A;3754;7680;3000,8999;5447;3317,2;2389,033;3373;#N/A N/A;302,166;24529;2117,9541;1989,2;64,707;94,278;207,28;415;490,1;#N/A N/A;#N/A N/A;434;455;443;249;1023;1997,078;580,8;496;;86,193;;100;356;1029,8;236;607,2;859,053;637;#N/A N/A;119,924;2165;71,359;435,2;40,018;59,587;112,68;289;264,5;#N/A N/A;#N/A N/A;304;286;335;119;653;868,013;368,6;382;89,693;52,295;#N/A N/A;399;294;674,1;136;248,1;594,089;466;#N/A N/A;77,472;1500;44,213;288,9;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;107,313;103,848;232,105;462;643,4;#N/A N/A;#N/A N/A;653;752;592;414;1303;2251,115;930,1;1532;;100,849;;880;1008;#N/A N/A;452;1257;1082,449;734;#N/A N/A;127,528;3409;86,359;502,2
31.03.1994;2076,7;903,556;2872,1289;1244;1796;#N/A N/A;#N/A N/A;6345;2911;3690;3286;7441;17686,1348;2275,8;13373;1163,775;871,845;#N/A N/A;3579;6953;3514,3;4745;3373,2;2660;3352;#N/A N/A;331,193;22883;2498,5371;1982,9;34,735;114,709;227,764;480;438,7;#N/A N/A;#N/A N/A;433;491;740;325;923;776,102;372,6;691;;103,494;;879;574;993,2;167;748,8;927;772;#N/A N/A;131,587;1723;157,641;565,5;17,404;70,398;139,734;256;243,4;#N/A N/A;#N/A N/A;292;306;544;192;482;498,456;248,4;392;64,437;63,235;#N/A N/A;353;388;675,2;67;389,2;617;521;#N/A N/A;84,344;1160;97,615;370,7;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;72,789;130,612;256,138;553;586,6;#N/A N/A;#N/A N/A;659;756;915;494;1208;1006,868;779,1;2517;;120,059;;952;1166;#N/A N/A;371;1397,4;1160;863;#N/A N/A;137,795;3012;86,359;636,6
30.06.1994;2149,908;939,466;3287,0359;1293;2029,3;#N/A N/A;#N/A N/A;5396;3040;3916;3605;7503;19942,3145;2353,6001;15351;1165,149;1004,156;#N/A N/A;3730;7496;3792;5306;3430;2770;4342;#N/A N/A;361,159;24246;2335,9609;1923,3;232,421;122,654;291,248;488;538,1;#N/A N/A;#N/A N/A;270;534;758;364;549;812,727;453;1078;;123,667;;957;483;1201,8;195;797,5;972;1070;#N/A N/A;138,718;1365;114,096;397,2;138,101;1429,7321;178,014;362;322,3;#N/A N/A;#N/A N/A;222;343;559;240;406;564,815;267,5;689;127,762;69,164;#N/A N/A;357;257;764,1;165;415,4;640;758;#N/A N/A;89,558;885;71,018;257,2;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;274,099;140,672;323,299;564;686,7;#N/A N/A;#N/A N/A;527;804;937;534;841;1072,934;814,6;2587;;142,822;;1482;1098;#N/A N/A;406;1446,6;1212;1172;#N/A N/A;149,245;2598;86,359;465,6
30.09.1994;2493,2859;956,834;3240,05;1247;2225,3999;#N/A N/A;#N/A N/A;5063;3107;4038;3509;8177;20417,7168;2698,3999;15431;1199,068;1170,355;#N/A N/A;3844;8176;3792;5135;3415,3;2863;4461;#N/A N/A;433,959;26047;2282,5259;2006,7;63,556;131,464;231,389;437;637,9;#N/A N/A;#N/A N/A;226;538;725;334;1270;876,581;397,1;1216;;177,614;;989;670;1166,3;282;591;970;1000;#N/A N/A;159,39;1837;112,548;503,3;114,655;80,842;140,774;316;349,8;#N/A N/A;#N/A N/A;185;341;525;244;792;588,085;225,9;710;129,808;105,987;#N/A N/A;369;425;784,8;188;-1874,3;659;708;#N/A N/A;103,651;1155;69,083;336,5;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;109,176;147,722;265,139;504;795,6;#N/A N/A;#N/A N/A;487;805;903;504;1574;1142,676;888;2708;;192,371;;1640;1296;#N/A N/A;490;1265,7;1243;1098;#N/A N/A;170,815;3024;86,359;577,4
30.12.1994;2832;969,027;3077,4819;1482;2270,1001;#N/A N/A;#N/A N/A;5120;3090;4090;3928;8485;24447,834;3301,7;19897;1173,293;1053,746;#N/A N/A;4043;7715;3871,5;5615;3608,8;3228;4017;#N/A N/A;515,983;26507;2405,5559;2064,3999;267;137,221;288,096;520;542,6;#N/A N/A;#N/A N/A;222;532;584;411;1208;1584,59;748,5;2020;;144,842;;991;767;1043,8;311;667,3;518;866;#N/A N/A;186,65;2109;87,851;478,9;188;84,243;145,979;373;308,9;#N/A N/A;#N/A N/A;157;332;378;279;750;1029,644;482,4;1230;120,821;84,939;#N/A N/A;334;623;772,9;165;314,9;372;567;#N/A N/A;62,14;1900;53,994;334;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;305;152,761;323,53;586;717;#N/A N/A;#N/A N/A;620;602;776;585;1507;1897,522;1171;3488;;161,164;;1576;1365;#N/A N/A;528;1347;800;986;#N/A N/A;200,958;3415;86,359;557,3
31.03.1995;2652;1103,835;3568,9619;1587;2161,3;#N/A N/A;#N/A N/A;5037;3361;4496;3913;8318;20440;2951;15735;1267,459;1124,697;#N/A N/A;3771;7635;3817,3;5318;3449,7;3557;3854;#N/A N/A;581,497;26127;2806,9839;2338;166;143,091;254,153;549;534,5;#N/A N/A;#N/A N/A;226;615;976;456;1064;867;528;2118;;167,982;;801;616;1032,9;288;831,5;1267;879;#N/A N/A;207,065;2146;181,385;667;73;89,432;157,765;396;280,7;#N/A N/A;#N/A N/A;181;376;654;300;631;553;316;1289;110,596;95,349;#N/A N/A;353;459;757,4;135;414,5;889;638;#N/A N/A;135,174;1660;111,557;420;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;195;162,756;293,466;619;703,3;#N/A N/A;#N/A N/A;491;824;1180;630;1375;1143;1029,9;3568;;184,932;;1317;1192;#N/A N/A;495;1499,2;1572;989;#N/A N/A;223,464;3482;86,359;786
30.06.1995;2575;1157,9449;4151,7222;1621;2467,6001;#N/A N/A;#N/A N/A;5558;3424;4762;4213;8494;22723;2764;17531;1330,728;1412,036;#N/A N/A;3967;8170;4135,7002;5774;3564,5;3894;4936;#N/A N/A;701,212;27846;2617,3679;2401;156;143,881;342,158;532;644,7;#N/A N/A;#N/A N/A;313;586;963;496;678;935;523,6;2774;;195,356;;891;1039;1210,4;383;843;1326;1258;#N/A N/A;241,018;2353;127,605;528;103;89,879;212,887;368;379,7;#N/A N/A;#N/A N/A;-231;353;661;323;472;633;318,2;1716;112,967;113,389;#N/A N/A;410;607;858,1;218;447,1;879;898;#N/A N/A;155,924;1630;78,99;317;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;193;164,265;385,339;598;821,8;#N/A N/A;#N/A N/A;587;867;1163;670;1017;1263;939,5;4076;;218,44;;1523;1605;#N/A N/A;597;1524,7;1652;1367;#N/A N/A;273,847;3681;86,359;590
29.09.1995;3003;1215,536;3997,79;2016;2580,1001;#N/A N/A;#N/A N/A;4381;3370;4738;3733;9027;22913;3123,6001;16754;1364,866;1700,02;#N/A N/A;4054;7881;4171,1001;5604;3261,1001;4171;4895;#N/A N/A;798,291;27025;2565,188;2538,5;72;150,568;280,291;708;722,1;#N/A N/A;#N/A N/A;223;573;881;277;1435;936;429,2;188;;317,598;;881;609;1213,2;386;719,4;1389;1006;#N/A N/A;278,851;2375;123,18;691,4;60;93,67;175,473;499;400,1;#N/A N/A;#N/A N/A;225;344;623;213;896;612;264;-538;142,399;182,098;#N/A N/A;416;282;861,9;210;604,8;931;802;#N/A N/A;181,387;1500;76,25;425,3;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;95;169,911;327,155;777;898;#N/A N/A;#N/A N/A;493;846;1081;446;1758;1270;941,9;1508;;337,783;;1433;1169;#N/A N/A;586;1361,9;1743;1124;#N/A N/A;297,6;3715;86,359;776,7
29.12.1995;3148;2193,562;3751,884;2195;2585,5;#N/A N/A;#N/A N/A;4539;3305;4846;4213;9090;27551;3837;21920;1446,577;1356,7581;#N/A N/A;4049;7646;4557;6106;3154,2;4580;4333;#N/A N/A;918,51;26895;2692,7671;2598;-119;23,245;355,594;786;594,3;#N/A N/A;#N/A N/A;140;526;691;452;1352;1374;777;2511;;174,914;;852;-821;1139,1;531;692,3;1270;949;#N/A N/A;321,511;2324;103,774;662,4;-69;12,983;185,398;575;366,8;#N/A N/A;#N/A N/A;218;-97;465;300;836;942;496;1711;155,247;97,812;#N/A N/A;385;-418;857,8;187;391,9;867;648;#N/A N/A;209,737;1680;63,655;410,9;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-77;58,311;407,441;864;781,5;#N/A N/A;#N/A N/A;364;558;944;617;1680;1740;1377;4041;;196,358;;1605;858;#N/A N/A;754;1327,5;1656;1066;#N/A N/A;339,889;3706;86,359;770,2
